"","sentence.pair.id","evaluator.id","score","human.translation","machine.translation","original"
"1","BG_SE_91","DW_Bulgarian_01",100,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"2","BG_SE_38","BBC_Bulgarian_03",99,"Министърката твърди, че усърдно се бори с корупцията - чрез съдебната реформа, която е условие за присъединяването към ЕС.","Министърът уточни, че активно се бори с корупцията - с реформа на правосъдната система, която е част от процеса на присъединяване към ЕС.","The minister says she is actively fighting corruption - with a reform of the justice system that is part of the EU accession process."
"3","BG_SE_91","BBC_Bulgarian_01",99,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"4","BG_SE_91","BBC_Bulgarian_02",99,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"5","BG_SE_164","BBC_Bulgarian_01",99,"Има много повече лесбийски двойки с деца. ","Има много повече лесбийки двойки, които правят това.","There are many more lesbian couples who do this. "
"6","BG_SE_170","DW_Bulgarian_01",99,"Макар горските пожари да не са рядкост в Арктика, през този сезон те са необичайно много. ","Въпреки че горските пожари не са рядкост в Арктика, този сезон те са необичайно високи.","Although forest fires are not uncommon in the Arctic, they are unusually high this season."
"7","BG_SE_8","BBC_Bulgarian_02",98,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.","Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. "
"8","BG_SE_38","BBC_Bulgarian_01",98,"Министърката твърди, че усърдно се бори с корупцията - чрез съдебната реформа, която е условие за присъединяването към ЕС.","Министърът уточни, че активно се бори с корупцията - с реформа на правосъдната система, която е част от процеса на присъединяване към ЕС.","The minister says she is actively fighting corruption - with a reform of the justice system that is part of the EU accession process."
"9","BG_SE_79","BBC_Bulgarian_01",98,"Наскоро разпространен доклад отбелязва, че глетчерите в Гренландия се топят по-бързо от предварителните прогнози.","Неотдавнашен доклад показа, че ледниците в Гренландия се затоплят по-бързо, отколкото се смяташе досега.","A recent report showed Greenland's glaciers are receeding faster than previously thought."
"10","BG_SE_164","DW_Bulgarian_02",98,"Има много повече лесбийски двойки с деца. ","Има много повече лесбийки двойки, които правят това.","There are many more lesbian couples who do this. "
